,01c [otf],01s [otf],02A [otf],02B [otf],13c [otf],13s [Bmax=40000] [otf],14c [otf],14s [otf],15c [otf],15s [Bmax=13000] [otf],22 [otf],27 [otf],33 [otf],37a [otf],37b [otf],37c [otf],38a [otf],38b [otf],max_Band5_MID_continuum [otf],max_Band5_MID_spectral [otf],max_LOW_continuum [otf],max_LOW_spectral [otf],max_MID_continuum [otf],max_MID_spectral [otf]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Mode,Continuum,Spectral,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Continuum,Spectral,Continuum,Spectral,Continuum,Spectral
BL-dependent averaging,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
On-the-fly kernels,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Max Baseline [m],80000,80000,80000,80000,150000,40000,150000,150000,150000,13000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,80000,80000,150000,150000
Observation Time [s],21600,21600,21600,21600,21600,21600,21600,21600,15840.000000000002,15840.000000000002,21600,442.8,442.8,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Snapshot Time [s],14.7607077924659,71.63753307514052,15.819832285353835,15.819832285353835,40.31382648553429,424.20626294141124,45.80215476875823,200.7225442669982,48.376587143740544,211.78152179782182,195.29112404238725,40.31382257292931,40.31382257292931,40.313821922924866,40.313821922924866,40.313820045133056,96.8267319068672,96.8267319068672,104.47477976776361,731.4538488835038,13.706210078696042,46.22041499562243,29.563474452422536,115.10557209025542
