,Ingest (Low) [bldta] [spbf],ICAL (Low) [bldta] [spbf],RCAL (Low) [bldta] [spbf],DPrepA (Low) [bldta] [spbf],DPrepA_Image (Low) [bldta] [spbf],DPrepB (Low) [bldta] [spbf],DPrepC (Low) [bldta] [spbf],DPrepD (Low) [bldta] [spbf],Fast_Img (Low) [bldta] [spbf],Ingest (Mid1) [bldta] [spbf],ICAL (Mid1) [bldta] [spbf],RCAL (Mid1) [bldta] [spbf],DPrepA (Mid1) [bldta] [spbf],DPrepA_Image (Mid1) [bldta] [spbf],DPrepB (Mid1) [bldta] [spbf],DPrepC (Mid1) [bldta] [spbf],DPrepD (Mid1) [bldta] [spbf],Fast_Img (Mid1) [bldta] [spbf],Ingest (Mid2) [bldta] [spbf],ICAL (Mid2) [bldta] [spbf],RCAL (Mid2) [bldta] [spbf],DPrepA (Mid2) [bldta] [spbf],DPrepA_Image (Mid2) [bldta] [spbf],DPrepB (Mid2) [bldta] [spbf],DPrepC (Mid2) [bldta] [spbf],DPrepD (Mid2) [bldta] [spbf],Fast_Img (Mid2) [bldta] [spbf],Ingest (Mid5A) [bldta] [spbf],ICAL (Mid5A) [bldta] [spbf],RCAL (Mid5A) [bldta] [spbf],DPrepA (Mid5A) [bldta] [spbf],DPrepA_Image (Mid5A) [bldta] [spbf],DPrepB (Mid5A) [bldta] [spbf],DPrepC (Mid5A) [bldta] [spbf],DPrepD (Mid5A) [bldta] [spbf],Fast_Img (Mid5A) [bldta] [spbf],Ingest (Mid5B) [bldta] [spbf],ICAL (Mid5B) [bldta] [spbf],RCAL (Mid5B) [bldta] [spbf],DPrepA (Mid5B) [bldta] [spbf],DPrepA_Image (Mid5B) [bldta] [spbf],DPrepB (Mid5B) [bldta] [spbf],DPrepC (Mid5B) [bldta] [spbf],DPrepD (Mid5B) [bldta] [spbf],Fast_Img (Mid5B) [bldta] [spbf],Ingest (Mid5C) [bldta] [spbf],ICAL (Mid5C) [bldta] [spbf],RCAL (Mid5C) [bldta] [spbf],DPrepA (Mid5C) [bldta] [spbf],DPrepA_Image (Mid5C) [bldta] [spbf],DPrepB (Mid5C) [bldta] [spbf],DPrepC (Mid5C) [bldta] [spbf],DPrepD (Mid5C) [bldta] [spbf],Fast_Img (Mid5C) [bldta] [spbf]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Low_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined,SKA1_Mid_rebaselined
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
BL-dependent averaging,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Max Baseline [m],80000,80000,80000,80000,80000,80000,80000,80000,80000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
Observation Time [s],21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0
