,01c [blcoal] [spbf],01s [blcoal] [spbf],02A [blcoal] [spbf],02B [blcoal] [spbf],13c [blcoal] [spbf],13s [Bmax=40000] [blcoal] [spbf],14c [blcoal] [spbf],14s [blcoal] [spbf],15c [blcoal] [spbf],15s [Bmax=13000] [blcoal] [spbf],22 [blcoal] [spbf],27 [blcoal] [spbf],33 [blcoal] [spbf],37a [blcoal] [spbf],37b [blcoal] [spbf],37c [blcoal] [spbf],38a [blcoal] [spbf],38b [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid
Band,HPSO 01c,HPSO 01s,HPSO 02A,HPSO 02B,HPSO 13c,HPSO 13s,HPSO 14c,HPSO 14s,HPSO 15c,HPSO 15s,HPSO 22,HPSO 27,HPSO 33,HPSO 37a,HPSO 37b,HPSO 37c,HPSO 38a,HPSO 38b,HPSO max_Band5_MID_continuum,HPSO max_Band5_MID_spectral,HPSO max_LOW_continuum,HPSO max_LOW_spectral,HPSO max_MID_continuum,HPSO max_MID_spectral
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.79,0.79,1.2,1.3,1.3,1.415,10.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,8.5,8.5,0.05,0.05,0.35,0.35
Frequency Max [GHz],0.2,0.2,0.2,0.2,0.95,0.95,1.5,1.4,1.56,1.425,12.0,1.5,1.5,1.7,1.7,1.5,11.0,11.0,13.5,13.5,0.35,0.35,1.05,1.05
Pipeline,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,41000,65536,65536,5000,65536,2500,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Max Baseline [m],80000,80000,80000,80000,150000,40000,150000,150000,150000,13000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,80000,80000,150000,150000
Observation Time [s],21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,21600.0,442.8,442.8,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],61.18491422645283,765.1736286681249,49.181358794101676,49.181358794101676,483.25583809255795,3421.7866743432273,521.0500137786868,5972.194234923828,585.2480159266523,2476.811123055505,792.1558608461253,221.39998837652442,221.39998837652442,357.034015024805,357.034015024805,385.53723758660635,790.5664785757324,790.5664785757324,882.7262570235869,1410.5959601887475,45.61082633317838,73.31148960334086,215.20165207672176,1065.6829960527814
Facets,6.0,6.0,5.0,5.0,11.0,6.0,10.0,10.0,10.0,3.0,5.0,8.0,8.0,10.0,10.0,10.0,7.0,7.0,7.0,1.0,5.0,1.0,13.0,8.0
Stations/antennas,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,197,197
Max Baseline [per bin]0 [m],4900,4900,4900,4900,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4900,4900,5000.0,5000.0
Max Baseline [per bin]1 [m],7100,7100,7100,7100,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7100,7100,7500.0,7500.0
Max Baseline [per bin]2 [m],10400,10400,10400,10400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10400,10400,10000.0,10000.0
Max Baseline [per bin]3 [m],15100,15100,15100,15100,15000.0,15000.0,15000.0,15000.0,15000.0,13000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15100,15100,15000.0,15000.0
Max Baseline [per bin]4 [m],22100,22100,22100,22100,25000.0,25000.0,25000.0,25000.0,25000.0,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,22100,22100,25000.0,25000.0
Max Baseline [per bin]5 [m],32200,32200,32200,32200,35000.0,35000.0,35000.0,35000.0,35000.0,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,32200,32200,35000.0,35000.0
Max Baseline [per bin]6 [m],47000,47000,47000,47000,55000.0,40000.0,55000.0,55000.0,55000.0,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,47000,47000,55000.0,55000.0
Max Baseline [per bin]7 [m],80000,80000,80000,80000,75000.0,,75000.0,75000.0,75000.0,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,80000,80000,75000.0,75000.0
Max Baseline [per bin]8 [m],,,,,90000.0,,90000.0,90000.0,90000.0,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,,90000.0,90000.0
Max Baseline [per bin]9 [m],,,,,110000.0,,110000.0,110000.0,110000.0,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,,,110000.0,110000.0
Max Baseline [per bin]10 [m],,,,,130000.0,,130000.0,130000.0,130000.0,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,,,130000.0,130000.0
Max Baseline [per bin]11 [m],,,,,150000.0,,150000.0,150000.0,150000.0,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,,150000.0,150000.0
Baseline fraction [per bin]0,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844
Baseline fraction [per bin]1,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761
Baseline fraction [per bin]2,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354
