,Ingest (Low) [blcoal] [spbf],ICAL (Low) [blcoal] [spbf],RCAL (Low) [blcoal] [spbf],DPrepA (Low) [blcoal] [spbf],DPrepA_Image (Low) [blcoal] [spbf],DPrepB (Low) [blcoal] [spbf],DPrepC (Low) [blcoal] [spbf],DPrepD (Low) [blcoal] [spbf],Fast_Img (Low) [blcoal] [spbf],Ingest (Mid1) [blcoal] [spbf],ICAL (Mid1) [blcoal] [spbf],RCAL (Mid1) [blcoal] [spbf],DPrepA (Mid1) [blcoal] [spbf],DPrepA_Image (Mid1) [blcoal] [spbf],DPrepB (Mid1) [blcoal] [spbf],DPrepC (Mid1) [blcoal] [spbf],DPrepD (Mid1) [blcoal] [spbf],Fast_Img (Mid1) [blcoal] [spbf]
-- Parameters --,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Max Baseline [m],80000,80000,80000,80000,80000,80000,80000,80000,80000,150000,150000,150000,150000,150000,150000,150000,150000,150000
Observation Time [s],21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600,21600,1.0
Snapshot Time [s],21600.0,62.5162714111801,62.51626709516784,25.26333010908151,37.73113563807397,30.27090915128768,73.31148972065819,21600.0,1.0,21600.0,242.98729087433043,242.9872769975407,140.7155659141223,175.15843684131312,98.13360513361582,1065.683015192927,21600.0,1.0
Facets,1.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,10.0,10.0,4.0,4.0,3.0,8.0,1.0,1.0
Stations/antennas,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4900,4900,4900,4900,4900,4900,4900,4900,4900,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],7100,7100,7100,7100,7100,7100,7100,7100,7100,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],10400,10400,10400,10400,10400,10400,10400,10400,10400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],15100,15100,15100,15100,15100,15100,15100,15100,15100,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],22100,22100,22100,22100,22100,22100,22100,22100,22100,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Max Baseline [per bin]5 [m],32200,32200,32200,32200,32200,32200,32200,32200,32200,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Max Baseline [per bin]6 [m],47000,47000,47000,47000,47000,47000,47000,47000,47000,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
Max Baseline [per bin]7 [m],80000,80000,80000,80000,80000,80000,80000,80000,80000,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Max Baseline [per bin]8 [m],,,,,,,,,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
Max Baseline [per bin]9 [m],,,,,,,,,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0
Max Baseline [per bin]10 [m],,,,,,,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
Max Baseline [per bin]11 [m],,,,,,,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
Baseline fraction [per bin]0,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844
Baseline fraction [per bin]1,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761
Baseline fraction [per bin]2,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354
Baseline fraction [per bin]3,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208
Baseline fraction [per bin]4,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903
Baseline fraction [per bin]5,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424
Baseline fraction [per bin]6,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286
Baseline fraction [per bin]7,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551
Baseline fraction [per bin]8,,,,,,,,,,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682
Baseline fraction [per bin]9,,,,,,,,,,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761
Baseline fraction [per bin]10,,,,,,,,,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607
Baseline fraction [per bin]11,,,,,,,,,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751
-- Image --,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],15.714851470342577,10.183223752781991,10.183223752781991,15.714851470342577,9.428910882205546,9.428910882205546,15.714851470342577,15.714851470342577,14.14336632330832,6.779057493779791,2.1964146279846526,2.1964146279846526,2.0337172481339376,2.0337172481339376,2.711622997511917,1.0168586240669688,6.779057493779791,6.101151744401812
Total FoV size [deg],15.714851470342577,42.43009896992496,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,14.14336632330832,6.77905749377979,18.303455233205437,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.101151744401811
PSF size [arcs],11.531210745827075,11.531210745827075,11.531210745827075,11.531210745827075,11.531210745827075,11.531210745827075,11.531210745827075,11.531210745827075,11.531210745827075,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203
Pixel size [arcs],2.3062421491654153,2.3062421491654153,2.3062421491654153,2.3062421491654153,2.3062421491654153,2.3062421491654153,2.3062421491654153,2.3062421491654153,3.8437369152756915,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.34223555070373435
Facet side length [pixels],24530.583362075024,15895.818018624617,15895.818018624617,24530.583362075024,14718.350017245015,14718.350017245015,24530.583362075024,24530.583362075024,13246.515015520516,118848.97661578593,38507.06842351465,38507.06842351465,35654.69298473578,35654.69298473578,47539.59064631437,17827.34649236789,118848.97661578593,64178.4473725244
Image side length [pixels],24530.583362075024,66232.57507760258,66232.57507760258,24530.583362075024,24530.583362075024,24530.583362075024,24530.583362075024,24530.583362075024,13246.515015520516,118848.97661578593,320892.236862622,320892.236862622,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,64178.4473725244
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,4.285749642711291
