,Ingest (Low) [blcoal] [spbf] [!otf],ICAL (Low) [blcoal] [spbf] [!otf],RCAL (Low) [blcoal] [spbf] [!otf],DPrepA (Low) [blcoal] [spbf] [!otf],DPrepA_Image (Low) [blcoal] [spbf] [!otf],DPrepB (Low) [blcoal] [spbf] [!otf],DPrepC (Low) [blcoal] [spbf] [!otf],DPrepD (Low) [blcoal] [spbf] [!otf],Fast_Img (Low) [blcoal] [spbf] [!otf],Ingest (Mid1) [blcoal] [spbf] [!otf],ICAL (Mid1) [blcoal] [spbf] [!otf],RCAL (Mid1) [blcoal] [spbf] [!otf],DPrepA (Mid1) [blcoal] [spbf] [!otf],DPrepA_Image (Mid1) [blcoal] [spbf] [!otf],DPrepB (Mid1) [blcoal] [spbf] [!otf],DPrepC (Mid1) [blcoal] [spbf] [!otf],DPrepD (Mid1) [blcoal] [spbf] [!otf],Fast_Img (Mid1) [blcoal] [spbf] [!otf],Ingest (Mid2) [blcoal] [spbf] [!otf],ICAL (Mid2) [blcoal] [spbf] [!otf],RCAL (Mid2) [blcoal] [spbf] [!otf],DPrepA (Mid2) [blcoal] [spbf] [!otf],DPrepA_Image (Mid2) [blcoal] [spbf] [!otf],DPrepB (Mid2) [blcoal] [spbf] [!otf],DPrepC (Mid2) [blcoal] [spbf] [!otf],DPrepD (Mid2) [blcoal] [spbf] [!otf],Fast_Img (Mid2) [blcoal] [spbf] [!otf],Ingest (Mid5A) [blcoal] [spbf] [!otf],ICAL (Mid5A) [blcoal] [spbf] [!otf],RCAL (Mid5A) [blcoal] [spbf] [!otf],DPrepA (Mid5A) [blcoal] [spbf] [!otf],DPrepA_Image (Mid5A) [blcoal] [spbf] [!otf],DPrepB (Mid5A) [blcoal] [spbf] [!otf],DPrepC (Mid5A) [blcoal] [spbf] [!otf],DPrepD (Mid5A) [blcoal] [spbf] [!otf],Fast_Img (Mid5A) [blcoal] [spbf] [!otf],Ingest (Mid5B) [blcoal] [spbf] [!otf],ICAL (Mid5B) [blcoal] [spbf] [!otf],RCAL (Mid5B) [blcoal] [spbf] [!otf],DPrepA (Mid5B) [blcoal] [spbf] [!otf],DPrepA_Image (Mid5B) [blcoal] [spbf] [!otf],DPrepB (Mid5B) [blcoal] [spbf] [!otf],DPrepC (Mid5B) [blcoal] [spbf] [!otf],DPrepD (Mid5B) [blcoal] [spbf] [!otf],Fast_Img (Mid5B) [blcoal] [spbf] [!otf],Ingest (Mid5C) [blcoal] [spbf] [!otf],ICAL (Mid5C) [blcoal] [spbf] [!otf],RCAL (Mid5C) [blcoal] [spbf] [!otf],DPrepA (Mid5C) [blcoal] [spbf] [!otf],DPrepA_Image (Mid5C) [blcoal] [spbf] [!otf],DPrepB (Mid5C) [blcoal] [spbf] [!otf],DPrepC (Mid5C) [blcoal] [spbf] [!otf],DPrepD (Mid5C) [blcoal] [spbf] [!otf],Fast_Img (Mid5C) [blcoal] [spbf] [!otf]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
