,Ingest (Low) [blcoal] [!otf] [spbf],ICAL (Low) [blcoal] [!otf] [spbf],RCAL (Low) [blcoal] [!otf] [spbf],DPrepA (Low) [blcoal] [!otf] [spbf],DPrepA_Image (Low) [blcoal] [!otf] [spbf],DPrepB (Low) [blcoal] [!otf] [spbf],DPrepC (Low) [blcoal] [!otf] [spbf],DPrepD (Low) [blcoal] [!otf] [spbf],Fast_Img (Low) [blcoal] [!otf] [spbf],Ingest (Mid1) [blcoal] [!otf] [spbf],ICAL (Mid1) [blcoal] [!otf] [spbf],RCAL (Mid1) [blcoal] [!otf] [spbf],DPrepA (Mid1) [blcoal] [!otf] [spbf],DPrepA_Image (Mid1) [blcoal] [!otf] [spbf],DPrepB (Mid1) [blcoal] [!otf] [spbf],DPrepC (Mid1) [blcoal] [!otf] [spbf],DPrepD (Mid1) [blcoal] [!otf] [spbf],Fast_Img (Mid1) [blcoal] [!otf] [spbf],Ingest (Mid2) [blcoal] [!otf] [spbf],ICAL (Mid2) [blcoal] [!otf] [spbf],RCAL (Mid2) [blcoal] [!otf] [spbf],DPrepA (Mid2) [blcoal] [!otf] [spbf],DPrepA_Image (Mid2) [blcoal] [!otf] [spbf],DPrepB (Mid2) [blcoal] [!otf] [spbf],DPrepC (Mid2) [blcoal] [!otf] [spbf],DPrepD (Mid2) [blcoal] [!otf] [spbf],Fast_Img (Mid2) [blcoal] [!otf] [spbf],Ingest (Mid5A) [blcoal] [!otf] [spbf],ICAL (Mid5A) [blcoal] [!otf] [spbf],RCAL (Mid5A) [blcoal] [!otf] [spbf],DPrepA (Mid5A) [blcoal] [!otf] [spbf],DPrepA_Image (Mid5A) [blcoal] [!otf] [spbf],DPrepB (Mid5A) [blcoal] [!otf] [spbf],DPrepC (Mid5A) [blcoal] [!otf] [spbf],DPrepD (Mid5A) [blcoal] [!otf] [spbf],Fast_Img (Mid5A) [blcoal] [!otf] [spbf],Ingest (Mid5B) [blcoal] [!otf] [spbf],ICAL (Mid5B) [blcoal] [!otf] [spbf],RCAL (Mid5B) [blcoal] [!otf] [spbf],DPrepA (Mid5B) [blcoal] [!otf] [spbf],DPrepA_Image (Mid5B) [blcoal] [!otf] [spbf],DPrepB (Mid5B) [blcoal] [!otf] [spbf],DPrepC (Mid5B) [blcoal] [!otf] [spbf],DPrepD (Mid5B) [blcoal] [!otf] [spbf],Fast_Img (Mid5B) [blcoal] [!otf] [spbf],Ingest (Mid5C) [blcoal] [!otf] [spbf],ICAL (Mid5C) [blcoal] [!otf] [spbf],RCAL (Mid5C) [blcoal] [!otf] [spbf],DPrepA (Mid5C) [blcoal] [!otf] [spbf],DPrepA_Image (Mid5C) [blcoal] [!otf] [spbf],DPrepB (Mid5C) [blcoal] [!otf] [spbf],DPrepC (Mid5C) [blcoal] [!otf] [spbf],DPrepD (Mid5C) [blcoal] [!otf] [spbf],Fast_Img (Mid5C) [blcoal] [!otf] [spbf]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5A,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5B,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C,Mid5C
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,0.949367,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
