# name Tpoint Texp Rflop_r Rflop_b Rinp Rout Mout
HPSO-13 3.600000e+06 1.800000e+07 0.000000e+00 1.496707e+00 1.171836e-01 0.000000e+00 5.232935e+01
HPSO-14 3.600000e+04 7.200000e+06 0.000000e+00 8.306150e-01 1.123041e-01 0.000000e+00 2.768436e+02
HPSO-15 1.584000e+04 4.536000e+07 0.000000e+00 4.480329e-01 6.031714e-02 0.000000e+00 8.766501e+01
HPSO-22 2.160000e+06 2.160000e+07 0.000000e+00 6.138049e+00 4.382224e-01 0.000000e+00 2.254727e+02
HPSO-27 4.428000e+02 3.600000e+07 0.000000e+00 1.856547e+00 2.440063e-01 0.000000e+00 2.609638e+01
HPSO-32 7.920000e+03 3.600000e+07 0.000000e+00 5.603219e-01 8.820495e-02 0.000000e+00 2.812460e+00
HPSO-37a 3.420000e+05 7.200000e+06 0.000000e+00 1.711590e+01 4.382224e-01 0.000000e+00 3.549107e+02
HPSO-37b 7.200000e+06 7.200000e+06 0.000000e+00 1.699426e+01 4.382224e-01 0.000000e+00 3.549107e+02
HPSO-37c 3.420000e+05 3.600000e+07 0.000000e+00 9.454280e+00 4.326092e-01 0.000000e+00 1.423586e+02
HPSO-38a 5.904000e+04 3.600000e+06 0.000000e+00 1.194255e+01 4.382224e-01 0.000000e+00 4.510945e+02
HPSO-38b 3.600000e+06 3.600000e+06 0.000000e+00 1.362611e+01 4.382224e-01 0.000000e+00 4.510945e+02
