# uid name Tobs Rflop_r Rflop_b Minp Mout
0 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
1 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
2 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
3 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
4 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
5 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
6 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
7 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
8 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
9 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
10 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
11 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
12 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
13 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
14 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
15 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
16 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
17 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
18 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
19 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
20 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
21 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
22 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
23 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
24 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
25 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
26 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
27 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
28 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
29 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
30 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
31 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
32 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
33 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
34 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
35 HPSO-01 21600.000000 0.000000 18.807880 9914.931360 248.193267
36 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
37 HPSO-02a 21600.000000 0.000000 15.522210 9914.931360 251.072143
38 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
39 HPSO-02b 21600.000000 0.000000 15.522210 9914.931360 279.860904
