# uid name Tobs Rflop_r Rflop_b Minp Mout
0 HPSO-37b 21600.000000 0.000000 16.994260 9465.603840 1.064732
1 HPSO-38b 21600.000000 0.000000 13.626110 9465.603840 2.706567
2 HPSO-32 21600.000000 0.000000 0.560322 1905.226920 7.670345
3 HPSO-13 21600.000000 0.000000 1.496707 2531.165760 0.313976
4 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
5 HPSO-32 21600.000000 0.000000 0.560322 1905.226920 7.670345
6 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
7 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
8 HPSO-15 21600.000000 0.000000 0.448033 1302.850224 119.543195
9 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
10 HPSO-22 21600.000000 0.000000 6.138049 9465.603840 2.254727
11 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
12 HPSO-15 21600.000000 0.000000 0.448033 1302.850224 119.543195
13 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
14 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
15 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
16 HPSO-13 21600.000000 0.000000 1.496707 2531.165760 0.313976
17 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
18 HPSO-22 21600.000000 0.000000 6.138049 9465.603840 2.254727
19 HPSO-22 21600.000000 0.000000 6.138049 9465.603840 2.254727
20 HPSO-15 21600.000000 0.000000 0.448033 1302.850224 119.543195
21 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
22 HPSO-13 21600.000000 0.000000 1.496707 2531.165760 0.313976
23 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
24 HPSO-15 21600.000000 0.000000 0.448033 1302.850224 119.543195
25 HPSO-15 21600.000000 0.000000 0.448033 1302.850224 119.543195
26 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
27 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
28 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
29 HPSO-15 21600.000000 0.000000 0.448033 1302.850224 119.543195
30 HPSO-27 21600.000000 0.000000 1.856547 5270.536080 1272.994146
31 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
32 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
33 HPSO-32 21600.000000 0.000000 0.560322 1905.226920 7.670345
34 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
35 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
36 HPSO-13 21600.000000 0.000000 1.496707 2531.165760 0.313976
37 HPSO-22 21600.000000 0.000000 6.138049 9465.603840 2.254727
38 HPSO-14 21600.000000 0.000000 0.830615 2425.768560 166.106160
39 HPSO-37c 21600.000000 0.000000 9.454280 9344.358720 8.991069
